id,original1,edit1,grades1,meanGrade1,original2,edit2,grades2,meanGrade2,label
107209-107210,' Champion for Educators and Working Class ' : Largest Teachers Union in Nevada Endorses <Bernie Sanders/> ,Elmo,32221,2.0,' Champion for Educators and Working Class ' : Largest <Teachers/> Union in Nevada Endorses Bernie Sanders,stripper,32222,2.2,2
100201-100202,"' Chrisley <Knows/> Best ' star Todd Chrisley , wife Julie indicted on tax evasion and fraud charges",groans,32211,1.8,"' Chrisley Knows Best ' star Todd Chrisley , wife Julie indicted on tax evasion and fraud <charges/> ",pumpkin,0,0.0,1
105897-105898,' Completely unsustainable ' : Modern computing is responsible for CO2 emissions on par with the <aviation/> industry,hairspray,21110,1.0,' Completely unsustainable ' : Modern computing is responsible for CO2 <emissions/> on par with the aviation industry,hijacking,20000,0.4,1
106448-106449,"' Designed by clowns ' : Boeing <employees/> ridicule 737 MAX , regulators in internal messages",jugglers,32210,1.6,"' Designed by clowns ' : Boeing employees ridicule 737 MAX , regulators in internal <messages/>",Massage,31110,1.2,1
105757-105758,"' Did the Iraq War Just End ? ' : In Letter , US-Led Coalition Announces It Will Leave <Iraq/> ",playground,22220,1.6,"' Did the Iraq War Just End ? ' : In Letter , US-Led Coalition Announces It Will <Leave/> Iraq",pave,32210,1.6,0
108191-108192,' Dolittle ' Is One of the Worst <Movies/> in Years,Names,21111,1.2,' Dolittle ' Is One of the Worst <Movies/> in Years,motivator,11000,0.4,1
106555-106554,' Do Not Sell My Info ' : U.S. retailers <rush/> to comply with California privacy law,dance,211000,0.6666666666666666,' Do Not <Sell/> My Info ' : U.S. retailers rush to comply with California privacy law,Eat,32211,1.8,2
106441-106440,' Evangelicals for Trump ' was an awful display by supposed <citizens/> of the Kingdom of God,florists,11000,0.4,' Evangelicals for <Trump/> ' was an awful display by supposed citizens of the Kingdom of God,Tang,21100,0.8,2
105968-105969,' Everyone 's scared ' - <Puerto Rico/> declares emergency after earthquakes,Snapchat,11000,0.4,' Everyone 's scared ' - Puerto Rico declares emergency after <earthquakes/> ,dinner,11110,0.8,2
106351-106350,' <Get/> out ' : Australians flee again as heat and wind fan huge bushfires,burn,110000,0.3333333333333333,' <Get/> out ' : Australians flee again as heat and wind fan huge bushfires,Buns,222110,1.3333333333333333,2
104834-104833,' Ghost boat ' with human remains <washes/> up in Japan,haunts,20000,0.4,' Ghost boat ' with human <remains/> washes up in Japan,clowns,22220,1.6,2
106888-106887,' Holy Grail ' digital effects rewinding the clock for <actors/> ,clocks,30000,0.6,' Holy Grail ' digital effects rewinding the clock for <actors/> ,Galahad,11110,0.8,2
106888-106886,' Holy Grail ' digital effects rewinding the clock for <actors/> ,clocks,30000,0.6,' <Holy Grail/> ' digital effects rewinding the clock for actors,photoshop,21100,0.8,2
106887-106886,' Holy Grail ' digital effects rewinding the clock for <actors/> ,Galahad,11110,0.8,' <Holy Grail/> ' digital effects rewinding the clock for actors,photoshop,21100,0.8,0
107445-107446,' Huge mistake ' : Senators in both parties rip <impeachment/> press access,forts,21100,0.8,' Huge <mistake/> ' : Senators in both parties rip impeachment press access,chicken,22211,1.6,2
100943-100944,"' I 'm sorry , Mom , I 'm <dying/> ' : Last text of woman ' among 39 dead in Essex lorry trailer ' revealed",busy,21000,0.6,"' I 'm sorry , Mom , I 'm dying ' : Last text of woman ' among 39 dead in Essex <lorry/> trailer ' revealed",movie,11100,0.6,0
100095-100094,' I do n’t think this <president/> has lied ’ : Trump aide denies he ’s ever misled the public,dotard,32110,1.4,' I do n’t think this president has lied ’ : Trump <aide/> denies he ’s ever misled the public,sycophant,21000,0.6,1
105977-105976,' It 's a spiral now : ' Democrats say they 're not surprised by <Iran/> attack,passing,210000,0.5,' It 's a spiral now : ' <Democrats/> say they 're not surprised by Iran attack,clowns,21000,0.6,2
100019-100018,' It 's ruined ' : Queen Elizabeth complained that Trump 's <helicopter/> left ' scorch marks ' on the lawn of Buckingham Palace,underwear,32221,2.0,' It 's ruined ' : <Queen Elizabeth/> complained that Trump 's helicopter left ' scorch marks ' on the lawn of Buckingham Palace,Snoopy,10000,0.2,1
106559-106558,' It means you 're going to <lose/> ' : Bernie Sanders answers Trump on rise in polls,poo,22110,1.2,' It means you 're going to lose ' : Bernie Sanders answers <Trump/> on rise in polls,dump,11100,0.6,1
100572-100573,' Jeopardy! ' host Alex Trebek says he 's ' not afraid of <dying/> ',vowels,32211,1.8,' Jeopardy! ' <host/> Alex Trebek says he 's ' not afraid of dying ',star,0,0.0,1
100135-100136,"' Jimmy Kimmel Live ' hit with $ 395,000 <fine/> over emergency tones in skit",bulldozer,22110,1.2,"' Jimmy Kimmel Live ' hit with $ 395,000 fine over emergency tones in <skit/>",brain,32000,1.0,1
101702-101703,' Joker ' Sequel in the Works as Todd Phillips Eyes More DC <Origin/> Movies,cashgrab,32111,1.6,' Joker ' Sequel in the <Works/> as Todd Phillips Eyes More DC Origin Movies,garbage,21110,1.0,1
100565-100564,' Joker ' shatters box office <records/> with $ 234 million opening despite its controversial depiction of violence,window,21100,0.8,' <Joker/> ' shatters box office records with $ 234 million opening despite its controversial depiction of violence,Frozen,22100,1.0,2
106144-106145,' My Big Fat <Gypsy/> Wedding ' Twin Brother Stars Found Dead in Apparent Joint Suicide,Greek,21100,0.8,' My Big Fat Gypsy Wedding ' Twin Brother Stars Found Dead in Apparent Joint <Suicide/> ,smoking,3222221110,1.6,2
101051-101050,' Nearly All ' Counter-Strike Microtransactions Are Being Used for <Money/> Laundering,shoe,0,0.0,' Nearly All ' Counter-Strike Microtransactions Are Being Used for <Money/> Laundering,Clothes,3322222210,1.9,2
103068-103067,' No sign of <life/> ' on New Zealand volcano island,intelligence,22110,1.2,' No sign of <life/> ' on New Zealand volcano island,Satan,21110,1.0,1
103539-103538,' Not my prime minister ' : Protesters <march/> in London against Boris Johnson,hug,21100,0.8,' Not my prime minister ' : Protesters march in <London/> against Boris Johnson,style,11111,1.0,2
107604-107603,' Pence had to <know/> ' : Vice president dragged into Trump impeachment scandal by indicted associate,sleep,21100,0.8,' Pence had to <know/> ' : Vice president dragged into Trump impeachment scandal by indicted associate,pee,22220,1.6,2
105013-105012,' Remarkable ' high as Scottish <temperature/> record is broken,drinking,22211,1.6,' Remarkable ' high as Scottish <temperature/> record is broken,cannabis,33221,2.2,2
100334-100335,' Right to repair ' laws for fixable <electronics/> pushed forward after agreement at consumer affairs meeting,husbands,32110,1.4,' Right to repair ' laws for fixable <electronics/> pushed forward after agreement at consumer affairs meeting,millinials,22110,1.2,1
105170-105171,' <Risk/> is just too high ' : Deputy Premier backs calls to cancel Sydney NYE fireworks,I,32210,1.6,' <Risk/> is just too high ' : Deputy Premier backs calls to cancel Sydney NYE fireworks,Snoop,33222,2.4,2
104407-104406,' Shameless ' influencers face <backlash/> for promoting Saudi Arabia music festival,acne,22211,1.6,' Shameless ' influencers face backlash for promoting <Saudi Arabia/> music festival,Bieber,33220,2.0,2
106709-106708,' Silence of the <Lambs/> ' Spinoff ' Clarice ' a Go at CBS,Clams,32111,1.6,' Silence of the Lambs ' Spinoff ' Clarice ' a <Go/> at CBS,no,21000,0.6,1
100628-100627,"' <South Park/> ' Scrubbed From Chinese Internet After Critical "" Band in China "" Episode",Destiny,10000,0.2,"' South Park ' Scrubbed From Chinese <Internet/> After Critical "" Band in China "" Episode",prophecies,22210,1.4,2
107349-107348,"' Staggering number ' of human <rights/> activists killed in Colombia , UN reports",romance,21111,1.2,"' Staggering number ' of human <rights/> activists killed in Colombia , UN reports",cat,21110,1.0,1
105589-105588,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's <control/> ",urine,32100,1.2,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's <control/> ",dungeon,21110,1.0,1
105589-105590,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's <control/> ",urine,32100,1.2,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free <women/> from singer 's control",insects,22210,1.4,2
105588-105590,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's <control/> ",dungeon,21110,1.0,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free <women/> from singer 's control",insects,22210,1.4,2
102000-101998,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm <Processing/> """,robot,32211,1.8,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm <Processing/> """,Terminating,22110,1.2,1
102000-101999,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm <Processing/> """,robot,32211,1.8,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm <Processing/> """,melting,222211,1.6666666666666667,1
101998-101999,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm <Processing/> """,Terminating,22110,1.2,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm <Processing/> """,melting,222211,1.6666666666666667,2
101014-101013,' The Best Part Of The <First Amendment/> ' : Dave Chappelle Accepts Mark Twain Prize,Fame,21100,0.8,' The Best Part Of The First Amendment ' : Dave Chappelle <Accepts/> Mark Twain Prize,takes,21000,0.6,1
101393-101394,"' The Godfather , ' ' Chinatown ' producer Robert Evans <dies/> ",exercises,11100,0.6,"' The Godfather , ' ' Chinatown ' producer Robert Evans <dies/> ",frys,11000,0.4,1
107103-107102,' The Mandalorian ' : Meet the Actor Who <Punched/> the $ 5 Million Baby Yoda,sold,0,0.0,' The Mandalorian ' : Meet the Actor Who <Punched/> the $ 5 Million Baby Yoda,birthed,33211,2.0,2
107103-107101,' The Mandalorian ' : Meet the Actor Who <Punched/> the $ 5 Million Baby Yoda,sold,0,0.0,' The Mandalorian ' : Meet the Actor Who <Punched/> the $ 5 Million Baby Yoda,adopted,21000,0.6,2
107102-107101,' The Mandalorian ' : Meet the Actor Who <Punched/> the $ 5 Million Baby Yoda,birthed,33211,2.0,' The Mandalorian ' : Meet the Actor Who <Punched/> the $ 5 Million Baby Yoda,adopted,21000,0.6,1
107810-107811,' The situation is tragic ' : Hundreds of <children/> died in Syria 's Al-Hol camp last year,chickens,11000,0.4,' The situation is tragic ' : Hundreds of children <died/> in Syria 's Al-Hol camp last year,vomited,11110,0.8,2
106085-106084,' The worst <briefing/> I 've had ' : Senate Iran briefing gets heated,brothel,22211,1.6,' The worst briefing I 've had ' : Senate <Iran/> briefing gets heated,golf,21110,1.0,1
106013-106012,' The worst national security <team/> that I 've ever seen ',clowns,21111,1.2,' The worst national <security/> team that I 've ever seen ',lampoon,32100,1.2,0
106107-106106,' This ca n't be real ' : 27 Edmontonians believed dead in Iran <plane/> crash | CBC News,candy,22210,1.4,' This ca n't be real ' : 27 Edmontonians believed dead in Iran <plane/> crash | CBC News,UFO,22211,1.6,2
107669-107670,' Unquestionably Alarming Signs ' : New Data Confirms Earth Just Had Hottest <Decade/> on Record,Date,33200,1.6,' Unquestionably Alarming Signs ' : New Data Confirms Earth Just Had Hottest <Decade/> on Record,mixtape,33222,2.4,2
100059-100057,"' Walking Dead ' actor and former firefighter , Dango Nguyen , dies after battle with <cancer/> ",zombies,32110,1.4,"' Walking Dead ' <actor/> and former firefighter , Dango Nguyen , dies after battle with cancer",zombie,11110,0.8,1
100059-100058,"' Walking Dead ' actor and former firefighter , Dango Nguyen , dies after battle with <cancer/> ",zombies,32110,1.4,"' Walking Dead ' actor and former firefighter , Dango Nguyen , dies after battle with <cancer/> ",alligator,33220,2.0,2
100057-100058,"' Walking Dead ' <actor/> and former firefighter , Dango Nguyen , dies after battle with cancer",zombie,11110,0.8,"' Walking Dead ' actor and former firefighter , Dango Nguyen , dies after battle with <cancer/> ",alligator,33220,2.0,2
105908-105909,"' We 're going to war , bro ' : Fort Bragg 's 82nd Airborne deploys to the <Middle East/>",buffet,22111,1.4,"' We 're going to <war/> , bro ' : Fort Bragg 's 82nd Airborne deploys to the Middle East",party,22211,1.6,2
105049-105050,' What an insult ' : CES names Ivanka Trump as <keynote/> speaker,loud,32222,2.2,' What an insult ' : CES names Ivanka Trump as keynote <speaker/> ,immigrant,21000,0.6,1
101308-101309,' When Will Someone Go to <Jail/> ? ' : New Report Shows Google Secretly Storing Health Data of Millions of Americans,Church,22100,1.0,' When Will Someone Go to <Jail/> ? ' : New Report Shows Google Secretly Storing Health Data of Millions of Americans,space,11000,0.4,1
100087-100088,' Who <Framed/> Roger Rabbit ' animator Richard Williams has died,Killed,32100,1.2,' Who <Framed/> Roger Rabbit ' animator Richard Williams has died,argued,10000,0.2,1
100410-100411,' Will & <Grace/> ' stars Debra Messing and Eric McCormack call for Hollywood to blacklist those attending Trump fundraiser,hope,10000,0.2,' Will & Grace ' stars Debra Messing and Eric McCormack call for Hollywood to <blacklist/> those attending Trump fundraiser,celebrate,21000,0.6,2
100251-100250,' You 're the <guy/> with the ball to the crotch ' : The inside story behind the funniest baseball card ever made,boy,0,0.0,' You 're the guy with the <ball/> to the crotch ' : The inside story behind the funniest baseball card ever made,raccoon,32100,1.2,2
100330-100329,' Your <numbers/> are fake ' : Puerto Rico newspaper slams Trump for touting hurricane aid claim,teeth,22222,2.0,' Your <numbers/> are fake ' : Puerto Rico newspaper slams Trump for touting hurricane aid claim,hairs,33221,2.2,2
100037-100038,"10,872 New Yorkers to See Their Marijuana <Convictions/> Disappear",Addiction,32211,1.8,"10,872 New Yorkers to See Their <Marijuana/> Convictions Disappear",shouting,21100,0.8,1
106224-106223,138 <Passengers/> on Flight that Crashed in Iran were Going to Canada - Trudeau,goats,32100,1.2,138 Passengers on Flight that Crashed in Iran were Going to <Canada/> - Trudeau,Utopia,21000,0.6,1
101742-101741,146 New <Vulnerabilities/> All Come Preinstalled on Android Phones,tiktoks,22111,1.4,146 New <Vulnerabilities/> All Come Preinstalled on Android Phones,genders,22220,1.6,2
107711-107710,14 <states/> sue Trump administration over food stamp rule,lobsters,322111,1.6666666666666667,14 <states/> sue Trump administration over food stamp rule,kittens,22110,1.2,1
106612-106611,"18 <Years/> After Its Opening , Justice Remains Elusive for Prisoners of Guantánamo",seconds,22210,1.4,"18 Years After Its Opening , Justice Remains Elusive for <Prisoners/> of Guantánamo",dancers,22100,1.0,1
105208-105207,2019 was Australia 's hottest year on <record/> – 1.5 C above average temperature,wikipedia,110000,0.3333333333333333,2019 was Australia 's hottest year on <record/> – 1.5 C above average temperature,fire,21100,0.8,2
104666-104667,"2020 set to be year of the electric <car/> , say industry analysts",vibrator,332211,2.0,"2020 set to be year of the electric car , say <industry/> analysts",incompetent,21110,1.0,1
106655-106656,23andMe sold the rights to a drug it developed from its genetic <database/>,tampering,31000,0.8,23andMe sold the rights to a <drug/> it developed from its genetic database,clone,32211,1.8,2
106364-106363,26 bags of body parts found in western Mexico <ravine/>,fastfood,11110,0.8,26 bags of <body/> parts found in western Mexico ravine,car,11000,0.4,1
104688-104689,3-D printing is about to save the military <billions/> of dollars,dozens,22221,1.8,3-D <printing/> is about to save the military billions of dollars,bra,32221,2.0,2
103396-103395,"44,000-Year-Old Indonesian Cave <Painting/> Is Rewriting The History Of Art",Artist,22100,1.0,"44,000-Year-Old Indonesian Cave Painting Is Rewriting The History Of <Art/>",Flexing,21111,1.2,2
100820-100821,47 US attorneys general are investigating Facebook for antitrust <violations/>,bananas,11000,0.4,47 US attorneys general are investigating Facebook for antitrust <violations/>,trustfalls,21100,0.8,2
102698-102699,4 ex-Google employees who were fired over <Thanksgiving/> are asking the US government to investigate,searching,21100,0.8,4 ex-Google <employees/> who were fired over Thanksgiving are asking the US government to investigate,janitors,22100,1.0,2
106785-106786,50 + orgs ask Google to take a stance against <Android/> bloatware,nacho,21111,1.2,50 + orgs ask <Google/> to take a stance against Android bloatware,llamas,32100,1.2,0
103922-103921,50 Cent and Russell Simmons <bash/> Oprah over #MeToo documentary,date,22210,1.4,<50 Cent/> and Russell Simmons bash Oprah over #MeToo documentary,quarters,100000,0.16666666666666666,1
102612-102613,629 Pakistani girls sold as <brides/> to China,grooms,21100,0.8,629 Pakistani <girls/> sold as brides to China,puppies,21100,0.8,0
106077-106076,63 <Canadians/> Were on Board a Ukrainian Passenger Plane That Crashed Leaving Iran,muppets,22110,1.2,63 <Canadians/> Were on Board a Ukrainian Passenger Plane That Crashed Leaving Iran,ducks,32221,2.0,2
106988-106987,[ CAR ( 3 ) - WPG 2 ] Svechnikov scores his second Michigan <goal/> of the season,girlfriend,32221,2.0,[ CAR ( 3 ) - WPG 2 ] Svechnikov scores his second <Michigan/> goal of the season,date,22220,1.6,1
104302-104301,"A $ 1.1 million electric <fire/> truck will soon be operating in Menlo Park , California",toy,11110,0.8,"A $ 1.1 million electric <fire/> truck will soon be operating in Menlo Park , California",taco,33221,2.2,2
100062-100063,A$ AP Rocky Found Guilty of <Assault/> in Sweden,Singing,11111,1.0,A$ AP Rocky <Found/> Guilty of Assault in Sweden,neither,0,0.0,1
104428-104427,"A 22-year-old was convicted after trying to <blackmail/> Apple for $ 100,000 of iTunes cards",purchase,32111,1.6,"A 22-year-old was convicted after trying to <blackmail/> Apple for $ 100,000 of iTunes cards",buy,11111,1.0,1
101104-101103,Aaron Sorkin : An <Open Letter/> to Mark Zuckerberg,handshake,21110,1.0, <Aaron/> Sorkin : An Open Letter to Mark Zuckerberg,Cantankerous,21111,1.2,2
101094-101093,"ABC Buys Legal <Drama/> ‘ Reasonable Doubt ’ Produced By Kerry Washington , Larry Wilmore & Shawn Holley",parody,11100,0.6,"ABC <Buys/> Legal Drama ‘ Reasonable Doubt ’ Produced By Kerry Washington , Larry Wilmore & Shawn Holley",steals,11100,0.6,0
106718-106719,"A billion medical <images/> are exposed online , as doctors ignore warnings",personnel,22100,1.0,"A billion medical images are exposed online , as doctors ignore <warnings/> ",herpes,22100,1.0,0
101175-101176,A black <cat/> invaded the Cowboys/Giants Monday Night Football game,ant,21100,0.8,A black cat <invaded/> the Cowboys/Giants Monday Night Football game,coached,32222,2.2,2
101175-101177,A black <cat/> invaded the Cowboys/Giants Monday Night Football game,ant,21100,0.8,A black cat <invaded/> the Cowboys/Giants Monday Night Football game,watched,10000,0.2,1
101176-101177,A black cat <invaded/> the Cowboys/Giants Monday Night Football game,coached,32222,2.2,A black cat <invaded/> the Cowboys/Giants Monday Night Football game,watched,10000,0.2,1
105686-105687,Activist group requests ethics probe of Graham 's impeachment <comments/> ,attire,32111,1.6,Activist group requests ethics probe of Graham 's impeachment <comments/> ,coupons,32211,1.8,2
102773-102772,Activists Build a Grass-Roots Alliance Against <Amazon/> - The New York Times,Marmot,11000,0.4,Activists Build a Grass-Roots <Alliance/> Against Amazon - The New York Times,charade,11000,0.4,0
100655-100656,Activists ’ <phones/> targeted by one of the world ’s most advanced spyware apps,toaster,22211,1.6,Activists ’ phones targeted by one of the world ’s most advanced <spyware/> apps,Rickrolling,22221,1.8,2
100655-100654,Activists ’ <phones/> targeted by one of the world ’s most advanced spyware apps,toaster,22211,1.6,Activists ’ <phones/> targeted by one of the world ’s most advanced spyware apps,shoes,32210,1.6,0
100656-100654,Activists ’ phones targeted by one of the world ’s most advanced <spyware/> apps,Rickrolling,22221,1.8,Activists ’ <phones/> targeted by one of the world ’s most advanced spyware apps,shoes,32210,1.6,1
103969-103970, <Adam/> Driver leaves interview ' because he ca n't stand listening to himself ',Taxi,32221,2.0,Adam Driver leaves interview ' because he ca n't stand <listening/> to himself ',himself,30000,0.6,1
103969-103971, <Adam/> Driver leaves interview ' because he ca n't stand listening to himself ',Taxi,32221,2.0,Adam Driver leaves interview ' because he ca n't stand <listening/> to himself ',smelling,22111,1.4,1
103970-103971,Adam Driver leaves interview ' because he ca n't stand <listening/> to himself ',himself,30000,0.6,Adam Driver leaves interview ' because he ca n't stand <listening/> to himself ',smelling,22111,1.4,2
106982-106983,Adam Sandler ’s ‘ Uncut <Gems/> ’ Scores Box Office Record for A24,Carrots,21110,1.0,Adam Sandler ’s ‘ Uncut <Gems/> ’ Scores Box Office Record for A24,Hair,22210,1.4,2
105258-105257,A Decade Marked By Outrage Over <Drug/> Prices,taco,33221,2.2,A Decade Marked By Outrage Over <Drug/> Prices,Smartphone,21100,0.8,1
100545-100546,A Declassified Court Ruling Shows How the FBI <Abused/> NSA Mass Surveillance Data,Kissed,221000,0.8333333333333334,A Declassified Court Ruling Shows How the FBI <Abused/> NSA Mass Surveillance Data,ate,22210,1.4,2
104028-104027,Adidas and Beyonce to <launch/> gender-neutral collection,join,22100,1.0,Adidas and Beyonce to launch gender-neutral <collection/> ,rocket,0,0.0,1
104028-104026,Adidas and Beyonce to <launch/> gender-neutral collection,join,22100,1.0,Adidas and Beyonce to launch gender-neutral <collection/> ,bathrooms,0,0.0,1
104027-104026,Adidas and Beyonce to launch gender-neutral <collection/> ,rocket,0,0.0,Adidas and Beyonce to launch gender-neutral <collection/> ,bathrooms,0,0.0,0
102530-102529,"Afghan government , Taliban are n't sure where Trump got the <idea/> a cease-fire is likely",essence,22100,1.0,"Afghan government , Taliban are n't sure where <Trump/> got the idea a cease-fire is likely",Mawlawi,21111,1.2,2
103891-103890,Africa 's ' first fully solar-powered <village/> ' wants to be a model for a renewable future,calculator,22210,1.4,Africa 's ' first fully solar-powered <village/> ' wants to be a model for a renewable future,bathroom,22221,1.8,2
100189-100188,"After 24 Hours , China Still Unaware of <Calls/> Mentioned by Trump",wisdom,32221,2.0,"After 24 Hours , China Still Unaware of <Calls/> Mentioned by Trump",Pranks,21111,1.2,1
106397-106398,"After a Decade of Hiring , <Plenty/> of Jobs but Raises Are Tiny",Many,0,0.0,"After a Decade of Hiring , Plenty of Jobs but <Raises/> Are Tiny",desks,22100,1.0,2
106301-106302,"After controversy , Oscar nominations could give ' <Joker/> ' the last laugh",Cats,21100,0.8,"After <controversy/> , Oscar nominations could give ' Joker ' the last laugh",joke,22100,1.0,2
106301-106303,"After controversy , Oscar nominations could give ' <Joker/> ' the last laugh",Cats,21100,0.8,"After controversy , Oscar nominations could give ' Joker ' the last <laugh/> ",dance,221000,0.8333333333333334,2
106302-106303,"After <controversy/> , Oscar nominations could give ' Joker ' the last laugh",joke,22100,1.0,"After controversy , Oscar nominations could give ' Joker ' the last <laugh/> ",dance,221000,0.8333333333333334,1
106293-106292,"After Trump Attacks Bernie on <Foreign Policy/> , Sanders Campaign Says ' Bring It '",dancing,22211,1.6,"After Trump Attacks Bernie on Foreign Policy , Sanders Campaign Says ' <Bring/> It '",toupee,32110,1.4,1
106293-106291,"After Trump Attacks Bernie on <Foreign Policy/> , Sanders Campaign Says ' Bring It '",dancing,22211,1.6,"After Trump Attacks Bernie on Foreign Policy , Sanders Campaign Says ' <Bring/> It '",suck,21110,1.0,1
106292-106291,"After Trump Attacks Bernie on Foreign Policy , Sanders Campaign Says ' <Bring/> It '",toupee,32110,1.4,"After Trump Attacks Bernie on Foreign Policy , Sanders Campaign Says ' <Bring/> It '",suck,21110,1.0,1
105816-105815,"Against all <odds/> , it looks like Bernie Sanders might be the Democratic nominee after all",corporations,11110,0.8,"Against all odds , it looks like <Bernie Sanders/> might be the Democratic nominee after all",Mothra,22110,1.2,2
100195-100194, <Agency/> giant Endeavor owns a part of ‘ Killing Eve ’ and other shows . Not everyone is happy about it,job,0,0.0, <Agency/> giant Endeavor owns a part of ‘ Killing Eve ’ and other shows . Not everyone is happy about it,Freaks,21000,0.6,2
106827-106828,"Agnes Keleti , the oldest living Olympic champion , <turns/> 99",slaughters,21000,0.6,"Agnes Keleti , the oldest living Olympic champion , <turns/> 99",summersaults,22100,1.0,2
104085-104086,Ah the days when mascots were allowed to assist the referees <determine/> who has possesion .,tackle,22111,1.4,Ah the days when <mascots/> were allowed to assist the referees determine who has possesion .,superfans,21100,0.8,1
103838-103837,Airbnb Bans Over 60 White <Supremacists/> After Iron March Forum Database Leak,towels,11110,0.8,Airbnb Bans Over 60 White <Supremacists/> After Iron March Forum Database Leak,sofas,22210,1.4,2
102859-102857,Airbnb Purges More Than Half of Its Boston <Listings/> ,beans,22111,1.4,Airbnb Purges More Than <Half/> of Its Boston Listings,All,11100,0.6,1
102859-102858,Airbnb Purges More Than Half of Its Boston <Listings/> ,beans,22111,1.4,Airbnb Purges More Than Half of Its Boston <Listings/> ,Population,222100,1.1666666666666667,1
102857-102858,Airbnb Purges More Than <Half/> of Its Boston Listings,All,11100,0.6,Airbnb Purges More Than Half of Its Boston <Listings/> ,Population,222100,1.1666666666666667,2
